sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {1},rkt.dynamics._SBII[1] {1},rkt.dynamics._SBII[2] {1},rkt.dynamics._VBII[0] {1},rkt.dynamics._VBII[1] {1},rkt.dynamics._VBII[2] {1},rkt.dynamics.thtbdx {degree}
               170.6,    121.011309626685,   22.26142036320689,    91037.4876287058,   1007.005187101338,   5256741.571459278,  -2878818.212678456,   2426907.230144567,   938.8467979014206,   219.5728909616712,   290.5406726673305,   75.08625695840823
               170.7,    121.011507556234,   22.26141902962349,   91114.95804252476,   1007.475011971358,   5256835.477641142,  -2878796.247701604,    2426936.29033676,   939.2768491566616,   219.7267090328666,   290.6631619634801,   75.06954440969186
               170.8,   121.0117057973721,   22.26141769297938,   91192.46180077363,   1007.944960988459,   5256929.426831068,  -2878774.267323999,   2426965.362775098,   939.7069590961364,   219.8809060948473,   290.7855954878551,   75.05282307691004
               170.9,   121.0119043513464,   22.26141635326908,   91269.99889022112,   1008.415033828499,   5257023.419034908,  -2878752.271507728,   2426994.447453983,   940.1371273670794,   220.0354823755398,   290.9079728936149,   75.03609295778878
                 171,    121.012103217556,   22.26141501048718,   91347.56929759681,   1008.885230168144,   5257117.454258473,  -2878730.260214855,   2427023.544367803,   940.5673534922089,   220.1904381740327,   291.0302941839888,   75.01935404908284
               171.1,   121.0123023967892,   22.26141366462834,   91425.17300957907,   1009.355549683662,   5257211.532507524,  -2878708.233407415,   2427052.653510944,    940.997637022782,   220.3457737728494,   291.1525592798267,   75.00260635147133
               171.2,   121.0125018898271,   22.26141231568731,   91502.81001278665,   1009.825992050185,    5257305.65378778,  -2878686.191047414,   2427081.774877773,   941.4279775882654,   220.5014894085402,   291.2747678787567,   74.98584986569224
               171.3,   121.0127016960764,   22.26141096365864,   91580.48029380199,    1010.29655694203,   5257399.818104933,   -2878664.13309684,   2427110.908462619,   941.8583748609429,   220.6575852921012,   291.3969195552386,   74.96908459229401
               171.4,   121.0129018167813,   22.26140960853672,   91658.18383914791,    1010.76724403428,   5257494.025464632,  -2878642.059517654,   2427140.054259782,   942.2888283866139,   220.8140617066931,   291.5190142392591,   74.95231052564836
               171.5,   121.0131022513445,   22.26140825031624,   91735.92063530069,   1011.238053002169,   5257588.275872474,  -2878619.970271786,   2427169.212263565,   942.7193376831393,   220.9709189515666,   291.6410519381348,   74.93552766647008
               171.6,   121.0133030010112,   22.26140688899194,   91813.69066868071,   1011.708983519877,   5257682.569334016,  -2878597.865321143,   2427198.382468261,    943.149902344283,    221.128157281495,    291.763032442566,   74.91873601588776
               171.7,   121.0135040651847,   22.26140552455838,    91891.4939256683,     1012.1800352603,   5257776.905854782,  -2878575.744627603,   2427227.564868127,   943.5805220531092,   221.2857768987708,    291.884955288605,   74.90193557649904
               171.8,   121.0137054451119,   22.26140415700996,   91969.33039258327,   1012.651207896636,   5257871.285440253,  -2878553.608153027,   2427256.759457384,   944.0111964123166,   221.4437780511423,   292.0068202373671,   74.88512634288487
               171.9,   121.0139071401946,   22.26140278634124,   92047.20005570259,   1013.122501102925,   5257965.708095871,  -2878531.455859245,   2427285.966230246,   944.4419249120743,    221.602161051032,   292.1286273663284,   74.86830831381597
                 172,   121.0141091516771,    22.2614014125469,   92125.10290124454,   1013.593914552413,   5258060.173827027,   -2878509.28770806,   2427315.185180926,   944.8727071098948,   221.7609261717973,   292.2503765608025,    74.8514814898946
